Genera,O2Req,OralorRespiratoryPath
Bacteria.Abditibacteriota.Abditibacteria.Abditibacteriales.Abditibacteriaceae.Abditibacterium,Aerobe,
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces,Anaerobe,
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomycetaceae_uncl,Variable,
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinotignum,Facultative anaerobe,
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.F0332,Variable,
Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Alloscardovia,Anaerobe,
Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacteriaceae_uncl,Variable,
Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium,Anaerobe,
Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Gardnerella,Facultative anaerobe,
Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Scardovia,Anaerobe,
Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Corynebacteriaceae.Corynebacterium,Variable,
Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Corynebacteriaceae.Lawsonella,Anaerobe,
Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Corynebacteriales_uncl.Corynebacteriales_uncl,NA,
Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Nocardiaceae.Nocardia,Aerobe,
Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Cellulomonadaceae.Tropheryma,NA,
Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Micrococcaceae.Micrococcus,Aerobe,
Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Micrococcaceae.Rothia,Variable,Oral
